career_id,career_name,Career level,category,description,educational_requirements,certifications,minimum_elligibilty,core_skills,soft_skills,in_demand_skills,expected_salary(Annual),growth_path,learning_resources,embedding_text
1,Accountant,Junior Accountant,Accounting and finance,"Handles routine financial tasks like data entry, invoice processing, and basic reconciliations to support accurate recordkeeping.","Bachelor’s degree in Accounting or Commerce, For example: B.Com","Tally Certification, QuickBooks Certified User, Microsoft Excel Expert, Fundamentals of Accounting (Coursera/edX), Xero Advisor Certification","Bachelor's degree in Commerce, Accounting, or Business Administration","Bookkeeping, Data Entry, Invoice Processing, Bank Reconciliation, Basic Excel, Attention to Detail","Junior Accountant,""Attention to Detail, Time Management, Communication, Teamwork, Adaptability, Integrity","Junior Accountant,""Tally ERP, QuickBooks, Microsoft Excel (Advanced), Xero, Data Reconciliation, Digital Bookkeeping, Basic Tax Filing",₹2.5L – ₹4.5L,Junior Accountant→ Staff Accountant → Senior Accountant → Accounting Manager,"Tally ERP Training (Udemy), QuickBooks Certification (Intuit Academy), Microsoft Excel for Beginners (LinkedIn Learning), Fundamentals of Accounting (Coursera), Xero Advisor Certification","career_name: Accountant | Career level: Junior Accountant | category: Accounting and finance | description: Handles routine financial tasks like data entry, invoice processing, and basic reconciliations to support accurate recordkeeping. | educational_requirements: Bachelor’s degree in Accounting or Commerce, For example: B.Com | certifications: Tally Certification, QuickBooks Certified User, Microsoft Excel Expert, Fundamentals of Accounting (Coursera/edX), Xero Advisor Certification | minimum_elligibilty: Bachelor's degree in Commerce, Accounting, or Business Administration | core_skills: Bookkeeping, Data Entry, Invoice Processing, Bank Reconciliation, Basic Excel, Attention to Detail | soft_skills: Junior Accountant,""Attention to Detail, Time Management, Communication, Teamwork, Adaptability, Integrity | in_demand_skills: Junior Accountant,""Tally ERP, QuickBooks, Microsoft Excel (Advanced), Xero, Data Reconciliation, Digital Bookkeeping, Basic Tax Filing | expected_salary(Annual): ₹2.5L – ₹4.5L | growth_path: Junior Accountant→ Staff Accountant → Senior Accountant → Accounting Manager | learning_resources: Tally ERP Training (Udemy), QuickBooks Certification (Intuit Academy), Microsoft Excel for Beginners (LinkedIn Learning), Fundamentals of Accounting (Coursera), Xero Advisor Certification"
4,Accountant,Accounting Manager,Accounting and finance,"Leads accounting teams and operations, driving financial strategy, process improvements, and stakeholder reporting.","Bachelor’s degree in Accounting, Finance, or Commerce , Master of Business Administration (MBA) in Finance , Master of Commerce (M.Com)","CPA, CMA, CA, Chartered Financial Analyst (CFA) Level 1, Certified Internal Auditor (CIA), MBA in Finance (with certification), IFRS/GAAP Advanced Certification","Bachelor's degree in Accounting or Finance, plus 5+ years of experience and CPA/CMA certification","Team Leadership, Strategic Financial Planning, Regulatory Compliance, Stakeholder Communication, ERP Systems (SAP/Oracle), Risk Management, Decision-Making","Leadership, Strategic Thinking, Decision-Making, Conflict Resolution, Stakeholder Communication, Mentoring","Strategic Financial Planning, ERP Systems (SAP/Oracle), Risk Management, Financial Forecasting, Leadership, Regulatory Strategy, AI-Driven Reporting Tools",₹10L – ₹20L+,Accounting Manager→ Controller → Finance Director → Chief Financial Officer (CFO),"Strategic Financial Management (Harvard Online), Risk Management in Finance (Coursera), ERP Systems Mastery (Oracle University), CFO Leadership Program (Wharton Executive Education), AI in Accounting & Reporting (MIT xPro)","career_name: Accountant | Career level: Accounting Manager | category: Accounting and finance | description: Leads accounting teams and operations, driving financial strategy, process improvements, and stakeholder reporting. | educational_requirements: Bachelor’s degree in Accounting, Finance, or Commerce , Master of Business Administration (MBA) in Finance , Master of Commerce (M.Com) | certifications: CPA, CMA, CA, Chartered Financial Analyst (CFA) Level 1, Certified Internal Auditor (CIA), MBA in Finance (with certification), IFRS/GAAP Advanced Certification | minimum_elligibilty: Bachelor's degree in Accounting or Finance, plus 5+ years of experience and CPA/CMA certification | core_skills: Team Leadership, Strategic Financial Planning, Regulatory Compliance, Stakeholder Communication, ERP Systems (SAP/Oracle), Risk Management, Decision-Making | soft_skills: Leadership, Strategic Thinking, Decision-Making, Conflict Resolution, Stakeholder Communication, Mentoring | in_demand_skills: Strategic Financial Planning, ERP Systems (SAP/Oracle), Risk Management, Financial Forecasting, Leadership, Regulatory Strategy, AI-Driven Reporting Tools | expected_salary(Annual): ₹10L – ₹20L+ | growth_path: Accounting Manager→ Controller → Finance Director → Chief Financial Officer (CFO) | learning_resources: Strategic Financial Management (Harvard Online), Risk Management in Finance (Coursera), ERP Systems Mastery (Oracle University), CFO Leadership Program (Wharton Executive Education), AI in Accounting & Reporting (MIT xPro)"
7,Accountant,Senior Accountant,Accounting and finance,"Oversees complex accounting functions including financial reporting, audits, and compliance, ensuring accuracy and regulatory alignment.","Bachelor of Commerce (B.Com) with Accounting major, Master of Commerce (M.Com) or Master of Accounting","Certified Public Accountant (CPA), Chartered Accountant (CA), Certified Management Accountant (CMA), IFRS Certification, SAP Financial Accounting Certification","Bachelor's degree in Accounting or Finance, plus 2–3 years of relevant experience","Financial Reporting, Budgeting, Tax Preparation, Internal Auditing, Compliance Management, Advanced Excel, Analytical Thinking","Junior Accountant,""Attention to Detail, Time Management, Communication, Teamwork, Adaptability, Integrity","Financial Reporting (IFRS/GAAP), Tax Planning, Internal Auditing, SAP Financial Accounting, Data Analytics, Compliance Management, Excel Power Query",₹5L – ₹9L,Senior Accountant→ Accounting Manager → Controller → Finance Director,"Financial Reporting with IFRS (edX), Internal Audit Fundamentals (ACCA), Advanced Excel & Power Query (LinkedIn Learning), Taxation & Compliance (NPTEL), SAP Financial Accounting (openSAP)","career_name: Accountant | Career level: Senior Accountant | category: Accounting and finance | description: Oversees complex accounting functions including financial reporting, audits, and compliance, ensuring accuracy and regulatory alignment. | educational_requirements: Bachelor of Commerce (B.Com) with Accounting major, Master of Commerce (M.Com) or Master of Accounting | certifications: Certified Public Accountant (CPA), Chartered Accountant (CA), Certified Management Accountant (CMA), IFRS Certification, SAP Financial Accounting Certification | minimum_elligibilty: Bachelor's degree in Accounting or Finance, plus 2–3 years of relevant experience | core_skills: Financial Reporting, Budgeting, Tax Preparation, Internal Auditing, Compliance Management, Advanced Excel, Analytical Thinking | soft_skills: Junior Accountant,""Attention to Detail, Time Management, Communication, Teamwork, Adaptability, Integrity | in_demand_skills: Financial Reporting (IFRS/GAAP), Tax Planning, Internal Auditing, SAP Financial Accounting, Data Analytics, Compliance Management, Excel Power Query | expected_salary(Annual): ₹5L – ₹9L | growth_path: Senior Accountant→ Accounting Manager → Controller → Finance Director | learning_resources: Financial Reporting with IFRS (edX), Internal Audit Fundamentals (ACCA), Advanced Excel & Power Query (LinkedIn Learning), Taxation & Compliance (NPTEL), SAP Financial Accounting (openSAP)"
16,AI Engineer,Senior,Technology & Engineering,"Leads end-to-end AI system design, mentors team members, and drives strategic innovation across projects.",Master’s/PhD in AI or CS; deep expertise in algorithms and deployment.,"Advanced AI/ML certifications (e.g., AWS Certified Machine Learning, Microsoft AI Engineer), NLP or Computer Vision specialization",Master’s or higher in AI/ML/CS with 3+ years of relevant experience,"AI system design, model optimization, deployment (MLOps), cloud platforms (AWS/GCP), leadership and mentoring","Adaptability, Creativity, Critical Thinking","MLOps, cloud AI platforms (AWS/GCP/Azure), LLM fine-tuning, generative AI, system architecture,Agentic AI",₹25–50+ LPA,Senior AI Engineer → Lead AI Architect / AI Researcher / AI Product Head,"Stanford CS231n & CS224n, AWS & GCP AI documentation, arXiv papers, advanced MLOps guides","career_name: AI Engineer | Career level: Senior | category: Technology & Engineering | description: Leads end-to-end AI system design, mentors team members, and drives strategic innovation across projects. | educational_requirements: Master’s/PhD in AI or CS; deep expertise in algorithms and deployment. | certifications: Advanced AI/ML certifications (e.g., AWS Certified Machine Learning, Microsoft AI Engineer), NLP or Computer Vision specialization | minimum_elligibilty: Master’s or higher in AI/ML/CS with 3+ years of relevant experience | core_skills: AI system design, model optimization, deployment (MLOps), cloud platforms (AWS/GCP), leadership and mentoring | soft_skills: Adaptability, Creativity, Critical Thinking | in_demand_skills: MLOps, cloud AI platforms (AWS/GCP/Azure), LLM fine-tuning, generative AI, system architecture,Agentic AI | expected_salary(Annual): ₹25–50+ LPA | growth_path: Senior AI Engineer → Lead AI Architect / AI Researcher / AI Product Head | learning_resources: Stanford CS231n & CS224n, AWS & GCP AI documentation, arXiv papers, advanced MLOps guides"
17,AI Engineer,Senior ,Technology & Engineering,"Leads end-to-end AI system design, mentors team members, and drives strategic innovation across projects.",Master’s/PhD in AI or CS; deep expertise in algorithms and deployment.,"Advanced AI/ML certifications (e.g., AWS Certified Machine Learning, Microsoft AI Engineer), NLP or Computer Vision specialization",Master’s or higher in AI/ML/CS with 3+ years of relevant experience,"AI system design, model optimization, deployment (MLOps), cloud platforms (AWS/GCP), leadership and mentoring","Creativity, Negotiation, Leadership","MLOps, cloud AI platforms (AWS/GCP/Azure), LLM fine-tuning, generative AI, system architecture,Agentic AI",₹25–50+ LPA,Senior AI Engineer → Lead AI Architect / AI Researcher / AI Product Head,"Stanford CS231n & CS224n, AWS & GCP AI documentation, arXiv papers, advanced MLOps guides","career_name: AI Engineer | Career level: Senior  | category: Technology & Engineering | description: Leads end-to-end AI system design, mentors team members, and drives strategic innovation across projects. | educational_requirements: Master’s/PhD in AI or CS; deep expertise in algorithms and deployment. | certifications: Advanced AI/ML certifications (e.g., AWS Certified Machine Learning, Microsoft AI Engineer), NLP or Computer Vision specialization | minimum_elligibilty: Master’s or higher in AI/ML/CS with 3+ years of relevant experience | core_skills: AI system design, model optimization, deployment (MLOps), cloud platforms (AWS/GCP), leadership and mentoring | soft_skills: Creativity, Negotiation, Leadership | in_demand_skills: MLOps, cloud AI platforms (AWS/GCP/Azure), LLM fine-tuning, generative AI, system architecture,Agentic AI | expected_salary(Annual): ₹25–50+ LPA | growth_path: Senior AI Engineer → Lead AI Architect / AI Researcher / AI Product Head | learning_resources: Stanford CS231n & CS224n, AWS & GCP AI documentation, arXiv papers, advanced MLOps guides"
18,AI Engineer,Intern,Technology & Engineering,Assists in data preparation and model testing under close supervision to gain hands-on experience in AI development.,Enrolled in a CS or related degree,"Intro to Machine Learning (Coursera/edX/udemy), Python for Data Science","Minimum High School DiplomaCurrently pursuing undergraduate studies in CS, IT, or related field","Python, basic statistics, data preprocessing, and introductory machine learning",,"Python & Jupyter notebook , Scikit-learn, Git & Github, prompt engineering, Basic ML.","₹15,000–₹30,000/month",Intern → Junior AI Engineer,"Coursera – Machine Learning by Andrew Ng, Kaggle Learn, YouTube – free ML tutorials","career_name: AI Engineer | Career level: Intern | category: Technology & Engineering | description: Assists in data preparation and model testing under close supervision to gain hands-on experience in AI development. | educational_requirements: Enrolled in a CS or related degree | certifications: Intro to Machine Learning (Coursera/edX/udemy), Python for Data Science | minimum_elligibilty: Minimum High School DiplomaCurrently pursuing undergraduate studies in CS, IT, or related field | core_skills: Python, basic statistics, data preprocessing, and introductory machine learning | in_demand_skills: Python & Jupyter notebook , Scikit-learn, Git & Github, prompt engineering, Basic ML. | expected_salary(Annual): ₹15,000–₹30,000/month | growth_path: Intern → Junior AI Engineer | learning_resources: Coursera – Machine Learning by Andrew Ng, Kaggle Learn, YouTube – free ML tutorials"
19,AI Engineer,Senior,Technology & Engineering,"Leads end-to-end AI system design, mentors team members, and drives strategic innovation across projects.",Master’s/PhD in AI or CS; deep expertise in algorithms and deployment.,"Advanced AI/ML certifications (e.g., AWS Certified Machine Learning, Microsoft AI Engineer), NLP or Computer Vision specialization",Master’s or higher in AI/ML/CS with 3+ years of relevant experience,"AI system design, model optimization, deployment (MLOps), cloud platforms (AWS/GCP), leadership and mentoring","Critical Thinking, Emotional Intelligence, Creativity","MLOps, cloud AI platforms (AWS/GCP/Azure), LLM fine-tuning, generative AI, system architecture,Agentic AI",₹25–50+ LPA,Senior AI Engineer → Lead AI Architect / AI Researcher / AI Product Head,"Stanford CS231n & CS224n, AWS & GCP AI documentation, arXiv papers, advanced MLOps guides","career_name: AI Engineer | Career level: Senior | category: Technology & Engineering | description: Leads end-to-end AI system design, mentors team members, and drives strategic innovation across projects. | educational_requirements: Master’s/PhD in AI or CS; deep expertise in algorithms and deployment. | certifications: Advanced AI/ML certifications (e.g., AWS Certified Machine Learning, Microsoft AI Engineer), NLP or Computer Vision specialization | minimum_elligibilty: Master’s or higher in AI/ML/CS with 3+ years of relevant experience | core_skills: AI system design, model optimization, deployment (MLOps), cloud platforms (AWS/GCP), leadership and mentoring | soft_skills: Critical Thinking, Emotional Intelligence, Creativity | in_demand_skills: MLOps, cloud AI platforms (AWS/GCP/Azure), LLM fine-tuning, generative AI, system architecture,Agentic AI | expected_salary(Annual): ₹25–50+ LPA | growth_path: Senior AI Engineer → Lead AI Architect / AI Researcher / AI Product Head | learning_resources: Stanford CS231n & CS224n, AWS & GCP AI documentation, arXiv papers, advanced MLOps guides"
20,AI Engineer,Intern,Technology & Engineering,Assists in data preparation and model testing under close supervision to gain hands-on experience in AI development.,Enrolled in a CS or related degree,"Intro to Machine Learning (Coursera/edX/udemy), Python for Data Science","Minimum High School DiplomaCurrently pursuing undergraduate studies in CS, IT, or related field","Python, basic statistics, data preprocessing, and introductory machine learning","Teamwork, Emotional Intelligence, Leadership","Python & Jupyter notebook , Scikit-learn, Git & Github, prompt engineering, Basic ML.","₹15,000–₹30,000/month",Intern → Junior AI Engineer,"Coursera – Machine Learning by Andrew Ng, Kaggle Learn, YouTube – free ML tutorials","career_name: AI Engineer | Career level: Intern | category: Technology & Engineering | description: Assists in data preparation and model testing under close supervision to gain hands-on experience in AI development. | educational_requirements: Enrolled in a CS or related degree | certifications: Intro to Machine Learning (Coursera/edX/udemy), Python for Data Science | minimum_elligibilty: Minimum High School DiplomaCurrently pursuing undergraduate studies in CS, IT, or related field | core_skills: Python, basic statistics, data preprocessing, and introductory machine learning | soft_skills: Teamwork, Emotional Intelligence, Leadership | in_demand_skills: Python & Jupyter notebook , Scikit-learn, Git & Github, prompt engineering, Basic ML. | expected_salary(Annual): ₹15,000–₹30,000/month | growth_path: Intern → Junior AI Engineer | learning_resources: Coursera – Machine Learning by Andrew Ng, Kaggle Learn, YouTube – free ML tutorials"
21,AI Engineer,Senior,Technology & Engineering,"Leads end-to-end AI system design, mentors team members, and drives strategic innovation across projects.",Master’s/PhD in AI or CS; deep expertise in algorithms and deployment.,"Advanced AI/ML certifications (e.g., AWS Certified Machine Learning, Microsoft AI Engineer), NLP or Computer Vision specialization",Master’s or higher in AI/ML/CS with 3+ years of relevant experience,"AI system design, model optimization, deployment (MLOps), cloud platforms (AWS/GCP), leadership and mentoring","Emotional Intelligence, Leadership, Adaptability","MLOps, cloud AI platforms (AWS/GCP/Azure), LLM fine-tuning, generative AI, system architecture,Agentic AI",₹25–50+ LPA,Senior AI Engineer → Lead AI Architect / AI Researcher / AI Product Head,"Stanford CS231n & CS224n, AWS & GCP AI documentation, arXiv papers, advanced MLOps guides","career_name: AI Engineer | Career level: Senior | category: Technology & Engineering | description: Leads end-to-end AI system design, mentors team members, and drives strategic innovation across projects. | educational_requirements: Master’s/PhD in AI or CS; deep expertise in algorithms and deployment. | certifications: Advanced AI/ML certifications (e.g., AWS Certified Machine Learning, Microsoft AI Engineer), NLP or Computer Vision specialization | minimum_elligibilty: Master’s or higher in AI/ML/CS with 3+ years of relevant experience | core_skills: AI system design, model optimization, deployment (MLOps), cloud platforms (AWS/GCP), leadership and mentoring | soft_skills: Emotional Intelligence, Leadership, Adaptability | in_demand_skills: MLOps, cloud AI platforms (AWS/GCP/Azure), LLM fine-tuning, generative AI, system architecture,Agentic AI | expected_salary(Annual): ₹25–50+ LPA | growth_path: Senior AI Engineer → Lead AI Architect / AI Researcher / AI Product Head | learning_resources: Stanford CS231n & CS224n, AWS & GCP AI documentation, arXiv papers, advanced MLOps guides"
22,AI Engineer,Junior,Technology & Engineering,"Builds and fine-tunes machine learning models, contributing to AI solutions with guidance from senior engineers.","Bachelor’s in CS/AI; trained in ML, DL, and data structures.","ML Specialization (Coursera), Deep Learning (Andrew Ng), TensorFlow Developer Certificate","Bachelor’s degree in CS, AI, or equivalent technical discipline","Machine learning algorithms, deep learning frameworks (TensorFlow/PyTorch), data wrangling, model evaluation","Critical Thinking, Leadership, Time Management","PyTorch/TensorFlow, Hugging Face Transformers, LangChain, SQL, model tuning",₹6–12 LPA,Junior AI Engineer → Senior AI Engineer,"DeepLearning.AI Specializations, Fast.ai courses, GitHub projects, Medium articles on ML workflows","career_name: AI Engineer | Career level: Junior | category: Technology & Engineering | description: Builds and fine-tunes machine learning models, contributing to AI solutions with guidance from senior engineers. | educational_requirements: Bachelor’s in CS/AI; trained in ML, DL, and data structures. | certifications: ML Specialization (Coursera), Deep Learning (Andrew Ng), TensorFlow Developer Certificate | minimum_elligibilty: Bachelor’s degree in CS, AI, or equivalent technical discipline | core_skills: Machine learning algorithms, deep learning frameworks (TensorFlow/PyTorch), data wrangling, model evaluation | soft_skills: Critical Thinking, Leadership, Time Management | in_demand_skills: PyTorch/TensorFlow, Hugging Face Transformers, LangChain, SQL, model tuning | expected_salary(Annual): ₹6–12 LPA | growth_path: Junior AI Engineer → Senior AI Engineer | learning_resources: DeepLearning.AI Specializations, Fast.ai courses, GitHub projects, Medium articles on ML workflows"
